Topic,Count,Name,Representation,Representative_Docs,Importance
-1,1109,-1_time_like_hour_point,"['time', 'like', 'hour', 'point', 'even', 'issue', 'player', 'people', 'make', 'system']","['review made like need first dont know make play play hour play hour cant play hour play This like feel hour really feel feel like system need also weapon time hour This know good time This really work need This issue feel point thing like feel really much feel play would play feel playing back review hour hour first still much better system really need need better weapon system dont want play update', 'many play better review people want time money play hour issue hour played year every issue first time player hour good review hour player hour first hour hour first play hour even hour playing content playing content system player play time playing content player content This point hour point content time need even player even every year even like player content even thing weapon many player would work feel played time know better play player many even play player even playing even much playing player play doesnt point like every people review even player playing back many time doesnt dont people people dont play like content like player hour This time youre', 'This work also many good recommend feel like good thing also really work player make thing great character like thing really system make work much like much every time point really played system people playing This made even play thing thing would doesnt feel much like first made dont know first back player know need need back issue like thing back also want time back really really doesnt make dont want feel thing like like could make work play play first cant really good still every thing make play feel like really much feel like player']",0.2740978744438952
0,376,0_weapon_story_feel_character,"['weapon', 'story', 'feel', 'character', 'really', 'like', 'weapon weapon', 'good', 'much', 'thing']","['played dont like much doesnt feel really dont much back time even feel many weapon even much character feel many thing need time many thing player dont much even need every weapon time still every many need every make feel much much many thing good point dont first weapon great much make weapon great even weapon good better weapon system weapon dont dont good much story character even even like character play also even people like story much time like cant really', 'year character feel time issue year would good story work like work like time first good story work weapon made great story story story story character still story character still story character character story need thing know character need character thing good story story story doesnt work really thing system even good good good thing weapon could many feel weapon good thing story system feel story even time even still really good story first feel weapon good story first even story also still character thing thing thing time thing year doesnt even time could great good still still also story time playing', 'This really would recommend would great would still play played player made cant really much really thing point really good point would really much every want work still system like first work player really story like like really need really story even good also youre like story much dont feel back like story point story character feel like point character time dont feel character story feel like great really good feel play dont need would player review really really dont much time back weapon really much work also like much dont really make make weapon cant youre need doesnt even feel like review still playing dont would really']",0.09293129016312407
1,76,1_server_time server_server player_player server,"['server', 'time server', 'server player', 'player server', 'player', 'server time', 'server server', 'server cant', 'hour', 'server play']","['server time server player even player player want play dont', 'play many youre dont know dont hour playing really character youre player would really like server cant player server server player player server server server player time like player server This time could thing would good time playing good play good good good youre time thing issue', 'recommend dont system system would like This server many player player server like This server people would point like many feel This dont doesnt server people like server This issue server time server also dont server player would player play server player time still server many playing player every time review']",0.018783984181908058
2,66,2_server server_server_great server_server great,"['server server', 'server', 'great server', 'server great', 'system server', 'server every', 'server could', 'would server', 'every server', 'server would']","['server server', 'server server', 'server server']",0.016312407315867524
3,56,3_recommend_recommend playing_playing recommend_play recommend,"['recommend', 'recommend playing', 'playing recommend', 'play recommend', 'recommend play', 'would recommend', 'recommend good', 'cant recommend', 'playing', 'recommend want']","['recommend playing', 'recommend playing', 'recommend playing']",0.01384083044982699
4,55,4_money_play money_money played_dont money,"['money', 'play money', 'money played', 'dont money', 'money play', 'time money', 'money every', 'even money', 'money cant', 'first money']","['play dont money played hour This cant play', 'play money', 'play money']",0.013593672763222936
5,54,5_like like_youre like_like youre_like,"['like like', 'youre like', 'like youre', 'like', 'like really', 'really like', 'youre', 'youre really', 'really thing', 'good youre']","['like youre like', 'like like', 'like like']",0.013346515076618883
6,51,6_year_year year_year still_issue year,"['year', 'year year', 'year still', 'issue year', 'back year', 'year back', 'like year', 'really year', 'year this', 'even year']","['year', 'year year still issue', 'year year still many people']",0.012605042016806723
7,50,7_server_server play_play server_player server,"['server', 'server play', 'play server', 'player server', 'server server', 'issue player', 'playing server', 'player issue', 'server issue', 'player']","['player This really server play server server server', 'player server play', 'player server cant play issue player like player server server cant play server play cant play server dont want play people want player']",0.012357884330202669
8,49,8_issue_issue issue_like issue_issue this,"['issue', 'issue issue', 'like issue', 'issue this', 'this issue', 'issue really', 'good issue', 'work issue', 'issue played', 'much issue']","['issue', 'issue', 'issue']",0.012110726643598616
9,47,9_feel_play feel_feel like_feel play,"['feel', 'play feel', 'feel like', 'feel play', 'like playing', 'playing', 'like feel', 'doesnt feel', 'feel feel', 'like']","['This really dont like much good feel play feel also every feel playing play player hour youre playing youre feel like youre youre player could better like hour player really dont player', 'play feel like playing', 'really recommend doesnt thing dont played like really also feel youre feel good people played like playing really feel still doesnt feel point doesnt feel playing dont play feel This much play would recommend even play play better would recommend doesnt feel feel like really people really want feel like doesnt like like']",0.011616411270390509
10,47,10_money_money time_time money_money money,"['money', 'money time', 'time money', 'money money', 'dont money', 'money dont', 'people money', 'money back', 'want money', 'year money']","['year money money people', 'year money money people', 'This money like money also dont money good need']",0.011616411270390509
