Topic,Count,Name,Representation,Representative_Docs,Importance
-1,978,-1_story_like_time_play,"['story', 'like', 'time', 'play', 'world', 'great', 'good', 'feel', 'would', 'really']","['What fantastic wont know playing even though loved previous franchise much added previous still great gear exploring point exploring world addition open world really make wish fully open world Graphics amazing like first animation different tell great time awesome well constantly taking great best part however story really enjoyed whole thing arent part feel like dont matter arent important Some part loved story getting know really also played DLCs well would theyre worth playing sure really enjoy However play though come version Even though fantastic annoying part There time completely character talk stuck animation super well death quite time damage super high well youll find anything else devs released dont know mean support added community make stuff think every time huge though amazing definitely play youre story based shooter general', 'soon first youre back world After playing fantastic really franchise going next campaign good previous However doesnt mean think story great moment dialogue said review felt didnt really care much would explore cant really negative story also recommend outside main story character often tell thought event While think better story beat excellent gameplay something looking forward turn something also keep progress environment cause weapon performance find world open world explore area mission sometimes youll given small quest complete along need make played core mechanic never still offer moment main either shoot enemy simple kill three main work well level However main usually come enemy find usually found whole know location matter could This especially annoying people want level point good ending This great franchise developer love highly recommend pick available Steam Good story Great weapon crafting graphic great atmosphere enemy character development Some getting stuck become time people good ending', 'feel review played first series came based look feel around release came series cant wait felt playing playing though first last save system like able save want want This probably doesnt work kind still fast forward review many great review around many best often time That attention watch review quite different compared even though around story playing liked fact attention detail another especially crafting weapon item weapon many thing cant even though would like control pretty good item part What really story slow sometimes story much think stuck make story great never read great story right making everyone would like making true developer didnt every possible mechanic like Bethesda open world play style liked attention effect mind came Even save system although still based option actual save system good people dont want deal save enough people like kind thing What still type dont think open world kind story thing story hard back play know thing turn guess future genre Overall current state played well deep many maybe look deep many dont slow long developer experience instead playing']",0.3568040860999635
0,102,0_good good_good_good well_well good,"['good good', 'good', 'good well', 'well good', 'true good', 'could good', 'please good', 'know else', 'else good', 'honestly dont']","['Good', 'good good', 'good good']",0.037212696096315216
1,91,1_like_level_weapon_character,"['like', 'level', 'weapon', 'character', 'time', 'really', 'much', 'area', 'also', 'even']","['want start anyone going dont play original isnt enough several crash around DLCs isnt enough option turn improvement really make look super hard really look better area opinion worth play original version different previous sense longer open open kind level Like instead open world area Dark Souls thing area level This exploration unique encounter unique weapon different enemy encounter think make gameplay better previous gameplay mostly time around since level much well also much different every performance work also multiple make area making another example make pick choose However well crafting need crafting resource previous main resource Most thing resource around youll usually never moment They either area around either enemy killed since know also find upgrade around well though mostly first area multiple armor upgrade upgrade upgrade upgrade upgrade unique time cant example cant armor upgrade time difficult well since area always going need around constantly found even actually open since dont need often used story personally favorite series however people instead really This take place year ending course year outside There much higher character nice change previous Dark part character like probably never read enough Dark almost level youre enough character really good character development really Story first part year point youre cant come back left event series order find last thats take later find home story great turn ever played While believe story great back easily part every system never tell system work Only time dont know high since super screen effect sound also doesnt make good example first area kill enemy negative action However next area make people know sure negative play really annoying doesnt make playing This system ending also someone getting almost arent give player also anything maybe line thats guess devs didnt area recommend youre playing first time first play wish forget want good ending either second watch', 'first hour want give opinion love dont want read Overall isnt really shooter like Fallout open world element everything always point right However found negative thing always felt like something easy feel going world place another without real fantastic giving player sense certain thats exploration isnt important part early point never found exploring without term feel fantastic action take better extremely fact mode completely graphic overall several area almost something make feel realistic possible without making boring even turn recommend time difficult part choose right right time give weapon made weapon didnt even never found right favorite weapon find good used There also weapon found kind boring similar improvement across felt ever used However opinion every weapon With power every masterpiece plenty plenty story pretty system many people want know wont however story story pretty good wont best enjoyable What make story There animation many still made enjoyable watch take thing also spend time real sense really want taking time want enjoy story easily come love people system system similar previous series ending choice made every like sound nice actually found system point added certain didnt know early within first minute After team every person area However best kill people still ending long system hold really dont like easy everything even youve every part This first main area come across overall found quite enjoyable exploration main area absolutely beautiful favorite moment perfect everything even This second major area basically area incredibly immersive event However probably area felt kind There think event area This least favorite area though still enjoyed This beautiful area building music absolutely even However good come short hell area took hour complete move level completely took three finish This suck would loved explore beautiful area give real would much hour area This area definitely similar really area take time There isnt really exploration really doesnt need system dont fight much area type monster easily Dark must made like make really important take time come looking around setting running quickly shooting everything definitely spent time hour complete easily take really dont decision last minute people released', 'happy perfect pretty good core gameplay almost previous shoot loot usually choice There must along without literally still feature large open world free explore little community gameplay still certain area time also side location youre exploring made three open world Some part open world level also open part actually quite similar Fallout gameplay around enemy attack close even also resource NPCs though mostly talk There though really needed item found There also NPCs mission help time might mission stuff large variety environment seen even make environment feel area enemy usually previous usually offer many around take However part room fight enemy head There choice story play hard tell many actual choice made choice There dialogue option choose taking action example certain character This give potential along Game option core gameplay around shooting immersive well made satisfying though maybe weapon classic weapon addition Theres plenty thing every youll find weapon weapon upgrade give better better gear time around crafting offer crafting option weapon There also found world usually used multiple weapon hand weapon start point weapon find made annoying level amount resource youre start open level need everything After time resource become crafting everything want Then next level resource mechanic really liked difficulty level played pretty enemy doesnt need spend resource time enemy unless like around screen pretty killed quickly well wont attack youre away still completely like previous though good matter youre away without kind first time started actually like Even talk long want away actually play high level environment immersive look great able fully play quality lack graphic option That good could without Even effect screen Some area also quality option general problem example dont option need side dont even need read nice thing cant even example like look wanted everything look like effect mostly gameplay using annoying Still probably able play higher quality setting could annoying effect dont want better something element line look like something small character hold might stuck thing pretty Theres also save fixed Steam save pretty part level thing Overall great solid could improvement overall well immersive play']",0.03319956220357534
2,87,2_gameplay_graphic_story_great,"['gameplay', 'graphic', 'story', 'great', 'amazing', 'story gameplay', 'great story', 'great gameplay', 'good', 'gameplay story']","['gameplay amazing story great story', 'honestly perfect good story amazing gameplay graphic right graphic card look amazing really immersive graphic nice sometimes graphic sometimes however experience extremely recommend look amazing gameplay perfect', 'Great graphic great gameplay great']",0.031740240788033565
3,83,3_story_story line_great story_best story,"['story', 'story line', 'great story', 'best story', 'great', 'line', 'good story', 'amazing story', 'story great', 'graphic story']","['Good good story line', 'Great great story line', 'Great story line']",0.03028091937249179
4,78,4_ending_good ending_good_story,"['ending', 'good ending', 'good', 'story', 'great ending', 'ending ending', 'best', 'ending good', 'ending great', 'great']","['Good ending', 'good ending', 'Good ending']",0.028456767603064575
5,72,5_series_best series_series best_best,"['series', 'best series', 'series best', 'best', 'series ever', 'great series', 'love', 'series love', 'series great', 'ever']","['Best series', 'best series', 'series']",0.026267785479751914
6,64,6_atmosphere_great atmosphere_great_amazing atmosphere,"['atmosphere', 'great atmosphere', 'great', 'amazing atmosphere', 'soundtrack', 'atmosphere great', 'story atmosphere', 'amazing', 'story', 'atmosphere story']","['great atmosphere story graphic', 'story atmosphere', 'atmosphere']",0.02334914264866837
7,61,7_open_open world_world_best open,"['open', 'open world', 'world', 'best open', 'like', 'good', 'great', 'explore', 'previous', 'really']","['incredibly atmosphere beautiful well feel like actual place nothing feel like open world never feel like youre grinding given area weapon feel great youll find combat Overall incredible recommended getting Some vehicle little annoying certain around little long boring check reason though fixed though last minute shoot enemy back left right even though character show left right annoying shit long time save time make past enemy story overall good found character along There rather enjoyed change major though ending quite Story decent ending major made make open Well make another type shit fine last like minute gameplay real interesting enemy easy part literally past compared fight early real kind last enemy design last gameplay boring kind given great everything else pretty good change last last minute doesnt', 'best open world', 'Good great experience youre worth full bought year open world expect open world experience like open world area good easy many monster small ending learn thats make available start difficulty This basically feel like Game without actually youre style player youll also didnt feel shooting money away easy still enemy previous fight first monster youll This basically major open world They boring honestly used Dont wrong many monster still good dont really Theres real monster fight engaging like wait side dead monster event animation head fight fight Even fight right even fight room full enemy fight simply enjoyed animation cool graphic beautiful crash looking really good sale']",0.02225465158701204
8,55,8_ever played_ever_best_best ever,"['ever played', 'ever', 'best', 'best ever', 'played', 'played best', 'worth', 'worth best', 'best play', 'play best']","['Best ever played', 'best ever played', 'best ever played']",0.02006566946369938
